,Time,Data,Median,Mean
0,1,17.17392940418066,17.17392940418066,17.17392940418066
1,2,16.763549871748843,16.968739637964752,16.968739637964752
2,3,16.774508256590035,16.774508256590035,16.90399584417318
3,4,16.34441086661623,16.769029064169438,16.764099599783943
4,5,16.060571972672378,16.763549871748843,16.62339407436163
5,6,16.49447773553198,16.62901380364041,16.601908017890022
6,7,16.226011313972048,16.49447773553198,16.54820848875888
7,8,15.863414493233593,16.419444301074105,16.462609239318223
8,9,15.456806590066329,16.34441086661623,16.350853389401344
9,10,15.91914052668498,16.28521109029414,16.307682103129707
10,11,15.902933372414163,16.226011313972048,16.27088676397375
11,12,15.90547436826835,16.143291643322215,16.2404357309983
12,13,15.77104760609143,16.060571972672378,16.204328952159308
13,14,15.502317907074861,15.98985624967868,16.15418530608185
14,15,15.973536619984056,15.973536619984056,16.142142060341996
15,16,16.07836704256986,16.01705429632822,16.13815612173124
16,17,15.940895691290864,15.973536619984056,16.12655256699945
17,18,16.094677085741825,16.01705429632822,16.124781706929582
18,19,15.683799514029257,15.973536619984056,16.101572117829566
19,20,15.907174329518389,15.957216155637461,16.091852228414005
20,21,15.752729460504389,15.940895691290864,16.075703525180217
21,22,16.07887936746464,15.957216155637461,16.07584788164769
22,23,16.33102811546053,15.973536619984056,16.08694267442216
23,24,16.1000015835135,16.01705429632822,16.0874867956343
24,25,15.754727257250599,15.973536619984056,16.07417641409895
25,26,15.345118119004553,15.957216155637461,16.046135710441476
26,27,15.3881508835375,15.940895691290864,16.021765902037625
27,28,15.852374547710436,15.930018108987923,16.015716210811654
28,29,16.04620767374965,15.940895691290864,16.016767640568137
29,30,15.799632618599071,15.930018108987923,16.0095298065025
30,31,15.339797111269858,15.91914052668498,15.987925526011123
31,32,15.437109111177463,15.913157428101684,15.970712513047571
32,33,15.072923886667674,15.907174329518389,15.943506797096664
33,34,14.906716894887802,15.90632434889337,15.913012976443463
34,35,14.715840264491911,15.90547436826835,15.878808041816276
35,36,14.405173290514846,15.904203870341256,15.837873743169016
36,37,14.548147583850632,15.902933372414163,15.803016279403655
37,38,14.502598325498395,15.883173932823878,15.768794754300885
38,39,14.613250488602693,15.863414493233593,15.739165414154778
39,40,14.683781223925997,15.857894520472016,15.712780809399058
40,41,14.492253351155,15.852374547710436,15.683011847002861
41,42,14.04207111448211,15.826003583154755,15.643941829561893
42,43,13.91880501579765,15.799632618599071,15.603822368776676
43,44,13.746536671543776,15.785340112345251,15.561611330203203
44,45,13.629882872446842,15.77104760609143,15.51868403114195
45,46,13.73706218668418,15.762887431671015,15.479953121479824
46,47,13.63616450941099,15.754727257250599,15.440723576542188
47,48,14.040382055158185,15.753728358877494,15.411549794846687
48,49,14.154076272984236,15.752729460504389,15.385887069910718
49,50,13.88214802256378,15.718264487266822,15.35581228896378
50,51,14.107511773322578,15.683799514029257,15.331335808264933
51,52,14.368816415971104,15.593058710552059,15.31282581995159
52,53,14.29931787255453,15.502317907074861,15.293703028491267
53,54,14.409493295669057,15.479562248570595,15.277328774179747
54,55,14.803373194802802,15.456806590066329,15.268711400009256
55,56,14.428463862009592,15.446957850621896,15.253706979687834
56,57,14.66466919248207,15.437109111177463,15.243372983421066
57,58,15.05649101268955,15.412629997357481,15.240150880477419
58,59,14.680469163787825,15.3881508835375,15.23066474968607
59,60,14.495589544374246,15.366634501271026,15.218413496264208
60,61,14.815307499842804,15.345118119004553,15.211805201240905
61,62,14.589585316683602,15.342457615137207,15.201769396651272
62,63,15.009117743842992,15.339797111269858,15.198711433908285
63,64,14.821274040080548,15.206360498968767,15.192813974629725
64,65,15.08374846573281,15.08374846573281,15.191136043723619
65,66,15.261413388150853,15.172580926941832,15.192200851972515
66,67,15.577104431978205,15.261413388150853,15.197945681524839
67,68,15.45596726231012,15.300605249710355,15.201740116536387
68,69,14.991020411800267,15.261413388150853,15.198686207772095
69,70,15.26456159932194,15.262987493736397,15.199627284794238
70,71,15.521733979971376,15.26456159932194,15.204163998810818
71,72,15.780084949559587,15.302179355295898,15.21216290090455
